Pur,Ch,Dm,Adr,Pos,U#,Type,Load,Acc,Clr,Gbo,Gsiz,Ckt,C#,Cbl,DtaC,Mk,Sys,RAM,DMX,CAT,L620,SGP,CT,VT,Mod,DPF,HC,MD,FIBR,IRN,PCon,T1,ADPT,OCH,IP,NFN,NF,HFC,Print,SLXN,FCAN,Scy,L/R,U/D,Nt,US,DS,SR,SL,Top,Bot,Foc,Ax,Bm,Layer,Legend,Class,XCord,YCord,ZCord,Rot,VWFcPt,LtOrd,LW,Ext,Sym,Plt,Univ,DMX,Phs,PosOrd,WkStat,DTyp,ClrFm,When,Pos & U#,Type & Acc,Type & Load,Type & Acc & Load,Ckt & C#,Clr & Gbo,Flgs,DxQ,Wt,Typ Sym,Lbl Lgnd,LtPlt,Acc Wt,Prof,Pur Nt,Ch Nt,Dm Nt,Adr Nt,Pos Nt,U# Nt,Type Nt,Load Nt,Acc Nt,Clr Nt,Gbo Nt,Gsiz Nt,Ckt Nt,C# Nt,Cbl Nt,DtaC Nt,Mk Nt,Sys Nt,RAM Nt,DMX Nt,CAT Nt,L620 Nt,SGP Nt,CT Nt,VT Nt,Mod Nt,DPF Nt,HC Nt,MD Nt,FIBR Nt,IRN Nt,PCon Nt,T1 Nt,ADPT Nt,OCH Nt,IP Nt,NFN Nt,NF Nt,HFC Nt,Print Nt,SLXN Nt,FCAN Nt,Scy Nt,L/R Nt,U/D Nt,Nt Nt,Ct1 Nt
Orange Fly,382,239,1/239,Flown PAR Bar,24,PAR 64 WFL,1000,,L105,,,2H,2,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,Not,Vertical,,[GP] LX-Overstage,GS Main,None,"-12'-9""","20'-6""",0',180°,,27,572469:11D6:1D:1C:Vecto,1231.1.1.0.0,PAR 64 WFL,Yes,1,239,,15,,Light,PAR 64,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Flown PAR Bar #24,PAR 64 WFL,PAR 64 WFL 1kW,PAR 64 WFL 1kW,2H-2,L105,,1,18 lbs,PAR 64 WFL,GS Main,True,,,,,,,"Trim 11' 0""L   35' 0""H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Fly,383,240,1/240,Flown PAR Bar,25,PAR 64 WFL,1000,,L105,,,2H,3,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,Not,Vertical,,[GP] LX-Overstage,GS Main,None,"-14'-3""","20'-6""",0',180°,,28,41733B:11B9:1D:1C:Vecto,1232.1.1.0.0,PAR 64 WFL,Yes,1,240,,15,,Light,PAR 64,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Flown PAR Bar #25,PAR 64 WFL,PAR 64 WFL 1kW,PAR 64 WFL 1kW,2H-3,L105,,1,18 lbs,PAR 64 WFL,GS Main,True,,,,,,,"Trim 11' 0""L   35' 0""H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Fly,383,240,1/240,Flown PAR Bar,26,PAR 64 WFL,1000,,L105,,,2H,3,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,Not,Vertical,,[GP] LX-Overstage,GS Main,None,"-15'-9""","20'-6""",0',180°,,29,2514EB:119C:1D:1C:Vecto,1233.1.1.0.0,PAR 64 WFL,Yes,1,240,,15,,Light,PAR 64,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Flown PAR Bar #26,PAR 64 WFL,PAR 64 WFL 1kW,PAR 64 WFL 1kW,2H-3,L105,,1,18 lbs,PAR 64 WFL,GS Main,True,,,,,,,"Trim 11' 0""L   35' 0""H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Fly,384,241,1/241,Flown PAR Bar,27,PAR 64 WFL,1000,,L105,,,2H,4,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,Not,Vertical,,[GP] LX-Overstage,GS Main,None,"-17'-3""","20'-6""",0',180°,,30,251EF4:117F:1D:1C:Vecto,1234.1.1.0.0,PAR 64 WFL,Yes,1,241,,15,,Light,PAR 64,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Flown PAR Bar #27,PAR 64 WFL,PAR 64 WFL 1kW,PAR 64 WFL 1kW,2H-4,L105,,1,18 lbs,PAR 64 WFL,GS Main,True,,,,,,,"Trim 11' 0""L   35' 0""H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Fly,384,241,1/241,Flown PAR Bar,28,PAR 64 WFL,1000,,L105,,,2H,4,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,Not,Vertical,,[GP] LX-Overstage,GS Main,None,"-18'-9""","20'-6""",0',180°,,31,25E5D:1162:1D:1C:Vecto,1235.1.1.0.0,PAR 64 WFL,Yes,1,241,,15,,Light,PAR 64,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Flown PAR Bar #28,PAR 64 WFL,PAR 64 WFL 1kW,PAR 64 WFL 1kW,2H-4,L105,,1,18 lbs,PAR 64 WFL,GS Main,True,,,,,,,"Trim 11' 0""L   35' 0""H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Fly,385,242,1/242,Flown PAR Bar,29,PAR 64 WFL,1000,,L105,,,2H,5,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,Not,Vertical,,[GP] LX-Overstage,GS Main,None,"-20'-3""","20'-6""",0',180°,,32,2D1D1B:1145:1D:1C:Vecto,1236.1.1.0.0,PAR 64 WFL,Yes,1,242,,15,,Light,PAR 64,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Flown PAR Bar #29,PAR 64 WFL,PAR 64 WFL 1kW,PAR 64 WFL 1kW,2H-5,L105,,1,18 lbs,PAR 64 WFL,GS Main,True,,,,,,,"Trim 11' 0""L   35' 0""H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Fly,385,242,1/242,Flown PAR Bar,30,PAR 64 WFL,1000,,L105,,,2H,5,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,Not,Vertical,,[GP] LX-Overstage,GS Main,None,"-21'-9""","20'-6""",0',180°,,33,3AFC0F:1128:1D:1C:Vecto,1237.1.1.0.0,PAR 64 WFL,Yes,1,242,,15,,Light,PAR 64,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Flown PAR Bar #30,PAR 64 WFL,PAR 64 WFL 1kW,PAR 64 WFL 1kW,2H-5,L105,,1,18 lbs,PAR 64 WFL,GS Main,True,,,,,,,"Trim 11' 0""L   35' 0""H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foots Far SL,272,N12,1/311,LED Footlights,1,LumenMax RGBTW Tape,101,,,,,1T,1,,,P,A,,100',,,,,,,Octo 2-A,,,,,,,,,,,,NO,,SLX,RGBTW FAR L,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS LED3,None,"19'-8""","-8'-10""",0',,,1,78667C:10727:C:22:Ronal,2047.1.1.0.0,LED3,Yes,1,311,,19,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,LED Footlights #1,LumenMax RGBTW Tape,LumenMax RGBTW Tape 101.5w,LumenMax RGBTW Tape 101.5w,1T-1,,,10,,LED3,GS LED3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foots SL,271,N13,1/321,LED Footlights,2,LumenMax RGBTW Tape,101,,,,,1T,2,,,P,A,,,,,,,,,,,,,,,,,,,,,,,SLX,RGBTW L,,,,Mask LED's in front of center PTZ camera,,,,,,,Not,,,[GP] LX-Deck and SLX,GS LED3,None,"13'-8""","-8'-10""",0',,,2,307E4C:289B:1D:1F:Vecto,1793.1.1.0.0,LED3,Yes,1,321,,19,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,LED Footlights #2,LumenMax RGBTW Tape,LumenMax RGBTW Tape 101.5w,LumenMax RGBTW Tape 101.5w,1T-2,,,10,,LED3,GS LED3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foots CSL,271,N13,1/331,LED Footlights,3,LumenMax RGBTW Tape,61,,,,,1T,2,,,P,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,RGBTW LC,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS LED3,None,"6'-10""","-8'-10""",0',,,3,597055:7362:10:30:Vecto,2023.1.1.0.0,LED3,Yes,1,331,,19,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,LED Footlights #3,LumenMax RGBTW Tape,LumenMax RGBTW Tape 61.6w,LumenMax RGBTW Tape 61.6w,1T-2,,,10,,LED3,GS LED3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foots Center,271,N14,1/341,LED Footlights,4,LumenMax RGBTW Tape,522,,,,,1T,3,,,P,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,RGBTW C,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS LED3,None,0',"-8'-10""",0',,,4,2110FB:28B8:1D:1F:Vecto,1792.1.1.0.0,LED3,Yes,1,341,,19,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,LED Footlights #4,LumenMax RGBTW Tape,LumenMax RGBTW Tape 522w,LumenMax RGBTW Tape 522w,1T-3,,,10,,LED3,GS LED3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foots CSR,271,N15,1/351,LED Footlights,5,LumenMax RGBTW Tape,316,,,,,1T,4,,,P,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,RGBTW RC,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS LED3,None,"-6'-10""","-8'-10""",0',,,5,8DBEB1:737C:10:30:Vecto,2022.1.1.0.0,LED3,Yes,1,351,,19,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,LED Footlights #5,LumenMax RGBTW Tape,LumenMax RGBTW Tape 316.8w,LumenMax RGBTW Tape 316.8w,1T-4,,,10,,LED3,GS LED3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foots SR,271,N15,1/361,LED Footlights,6,LumenMax RGBTW Tape,101,,,,,1T,4,,,P,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,RGBTW R,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS LED3,None,"-13'-8""","-8'-10""",0',,,6,D95BA:10739:C:2E:Ronal,2045.1.1.0.0,LED3,Yes,1,361,,19,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,LED Footlights #6,LumenMax RGBTW Tape,LumenMax RGBTW Tape 101.5w,LumenMax RGBTW Tape 101.5w,1T-4,,,10,,LED3,GS LED3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foots Far SR,273,N16,1/371,LED Footlights,7,LumenMax RGBTW Tape,101,,,,,1T,5,,,P,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,RGBTW FAR R,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS LED3,None,"-19'-7""","-8'-10""",0',,,7,3813E6:28D5:1D:1F:Vecto,1732.1.1.0.0,LED3,Yes,1,371,,19,,Moving Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,LED Footlights #7,LumenMax RGBTW Tape,LumenMax RGBTW Tape 101.5w,LumenMax RGBTW Tape 101.5w,1T-5,,,10,,LED3,GS LED3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Light,451,178,1/178,LED Footlights,8,2K Fresnel,2000,,,,,1T,6,,,,A,,,,,,,,,,,,,,,,,,,,,,,,SHADOW,,,,Lens removed.  Light fullstage / all walls (should not see a scallop on any wall).  See photo.,,,,,,,Not,,Out/Fl,[GP] LX-Deck and SLX,GS Main Tight,None,"-21'-8""","-8'-3""",0',-45°,,8,8D107C:107BE:17:F:Ronal,2071.1.1.0.0,"6"" Fresnel",Yes,1,178,,19,,Light,,11/10/21 at 3:32 PM - Note  by me,LED Footlights #8,2K Fresnel,2K Fresnel 2kW,2K Fresnel 2kW,1T-6,,,,,"6"" Fresnel",GS Main Tight,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crock Pot Smoke,Nd,,,Deck,1,TinyFogger,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,,TINY-FOGGER IN CROCKPOT,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main Tight,None,"20'-9""","1'-11""",0',,,1,931DE2:1099D:15:1:Ronal,2043.1.1.0.0,Prac-1*,Yes,,,,20,,Light,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Deck #1,TinyFogger,TinyFogger,TinyFogger,,,,,,Prac-1*,GS Main Tight,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 1,1001,N11,1/401,Boot Drop,1,Solenoid,,,,,,,,,,,A,,125',,,125',,,,Octo 2-F,,,,,,,,,,,,NO,,SLX,DROP 1,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,"9'-3""","1'-7""",0',,,1,6B2C60:75A4:1A:18:Vecto,2037.1.1.0.0,Prac-1*,Yes,1,401,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #1,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spare Circuit,,N11,,Boot Drop,1.2,Spare,,,,,,,,,,,A,,,,,125',,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,2,441B63:10A34:29:22:Ronal,,,No,,,,22,,Light,,10/18/21 at 8:44 PM - HFC  by me,Boot Drop #1.2,Spare,Spare,Spare,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 2,1002,,1/402,Boot Drop,2,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,DROP 2,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,"7'-11""","1'-7""",0',,,3,2BFAEB:7468:1A:18:Vecto,2036.1.1.0.0,Prac-1*,Yes,1,402,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #2,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 3,1003,,1/403,Boot Drop,3,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,DROP 3,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,"6'-7""","1'-7""",0',,,4,334839:7482:1A:18:Vecto,2035.1.1.0.0,Prac-1*,Yes,1,403,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #3,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 4,1004,,1/404,Boot Drop,4,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,DROP 4,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,"5'-4""","1'-7""",0',,,5,69FE5C:749C:1A:18:Vecto,2034.1.1.0.0,Prac-1*,Yes,1,404,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #4,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 5,1005,,1/405,Boot Drop,5,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,DROP 5,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,4',"1'-7""",0',,,6,1B46B4:74B6:1A:18:Vecto,2033.1.1.0.0,Prac-1*,Yes,1,405,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #5,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 6,1006,,1/406,Boot Drop,6,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,DROP 6,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,"2'-8""","1'-7""",0',,,7,43C1AA:74D0:1A:18:Vecto,2032.1.1.0.0,Prac-1*,Yes,1,406,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #6,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 7,1007,,1/407,Boot Drop,7,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,DROP 7,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,"1'-4""","1'-7""",0',,,8,1BDE24:74EA:1A:18:Vecto,2031.1.1.0.0,Prac-1*,Yes,1,407,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #7,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 8,1008,,1/408,Boot Drop,8,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,DROP 8,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,0',"1'-7""",0',,,9,789DAD:7504:1A:18:Vecto,2030.1.1.0.0,Prac-1*,Yes,1,408,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #8,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 9,1009,,1/409,Boot Drop,9,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,DROP 9,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,"-1'-4""","1'-7""",0',,,10,6A4A4:751E:1A:18:Vecto,2029.1.1.0.0,Prac-1*,Yes,1,409,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #9,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 10,1010,,1/410,Boot Drop,10,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,DROP 10,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,"-2'-8""","1'-7""",0',,,11,8D3B38:7538:1A:18:Vecto,2028.1.1.0.0,Prac-1*,Yes,1,410,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #10,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 11,1011,,1/411,Boot Drop,11,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,DROP 11,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,-4',"1'-7""",0',,,12,5AA4FB:7552:1A:18:Vecto,2027.1.1.0.0,Prac-1*,Yes,1,411,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #11,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 12,1012,,1/412,Boot Drop,12,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,DROP 12,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,"-5'-4""","1'-7""",0',,,13,765AD5:756C:1A:18:Vecto,2026.1.1.0.0,Prac-1*,Yes,1,412,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #12,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 13,1013,,1/413,Boot Drop,13,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,DROP 13,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,"-6'-7""","1'-7""",0',,,14,5FAA98:7586:1A:18:Vecto,2025.1.1.0.0,Prac-1*,Yes,1,413,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #13,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 14,1014,,1/414,Boot Drop,14,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,DROP 14,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,"-7'-11""","1'-7""",0',,,15,38A055:740F:20:7:Vecto,2024.1.1.0.0,Prac-1*,Yes,1,414,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #14,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot 15,1015,,1/415,Boot Drop,15,Solenoid,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,,DROP 15,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main,None,"-9'-3""","1'-7""",0',,,16,8530CC:14660:37:3:Vecto,2072.1.1.0.0,Prac-1*,Yes,1,415,,22,,SFX,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Boot Drop #15,Solenoid,Solenoid,Solenoid,,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductor Cam Blackout,1000,,3/509,Audio,1,Conductor Cam Blackout,,,,,,,,,,,A,,25',,,,,,,Octo 2-G,,,,,,,,,,,,NO,,,CONDUCTOR CAM BLACKOUT,,,,,,,,,,,Not,,,[GP] LX-Overstage,GS Main,None,"-27'-7""","8'-9""",0',,,1,6A357B:AAA9:3:19:Vecto,2038.1.1.0.0,Prac-1*,Yes,3,509,,23,,Device,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,Audio #1,Conductor Cam Blackout,Conductor Cam Blackout,Conductor Cam Blackout,,,,4,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio/MD Cuelight,,,,Audio,2,Relay,7,,Red,,,,,,,,A,,25',,,,,,,Cuelight Output,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,2,5600F3:11C47:A:9:Ronal,,,No,,,,23,,Light,,10/18/21 at 8:44 PM - HFC  by me,Audio #2,Relay,Relay 7.5w,Relay 7.5w,,Red,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM Cuelight Feed,,,,Audio,3,Relay,,,,,,,,,,,A,,25',,,,,,,SM Cuelight Box,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,3,15B4F7:11C53:B:2B:Ronal,,,No,,,,23,,Light,,10/18/21 at 8:44 PM - HFC  by me,Audio #3,Relay,Relay,Relay,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festoon Swag,441,247,1/247,SL Wall,1,Festoon Swag,,,,,,2J,5,,,,A,,,,,,,,,,,,,,,,,,,2J/2M,Wall Far,NO,,SLX,FESTOON SWAG,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS Main Tight,None,"57'-3""","128'-1""",0',,,1,457222:27D0:1D:1F:Vecto,1816.1.1.0.0,Prac-1*,Yes,1,247,,24,,Practical,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,SL Wall #1,Festoon Swag,Festoon Swag,Festoon Swag,2J-5,,,,,Prac-1*,GS Main,True,,,,,,,,,,,,,,,Side Wall Far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sconce,411,243,1/243,SL Wall,2,Sconce,225,,,,,2J,1,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,SCONCE,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS LED3,None,"68'-9""","129'-8""",0',,,2,467E62:2674:1D:1F:Vecto,1808.1.1.0.0,LED3,Yes,1,243,,24,,Practical,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,SL Wall #2,Sconce,Sconce 225w,Sconce 225w,2J-1,,,,,LED3,GS LED3,True,,,,,,,,,Use 75w A19 Frosted Bulbs,,,,,,Side Wall Far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sconce,412,244,1/244,SL Wall,3,Sconce,225,,,,,2J,2,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,SCONCE,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS LED3,None,"61'-9""","129'-8""",0',,,3,18CFA2:2657:1D:1F:Vecto,1809.1.1.0.0,LED3,Yes,1,244,,24,,Practical,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,SL Wall #3,Sconce,Sconce 225w,Sconce 225w,2J-2,,,,,LED3,GS LED3,True,,,,,,,,,Use 75w A19 Frosted Bulbs,,,,,,Side Wall Far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL Runlight,812,,,SL Wall,3w,S4-PAR WFL,,,L132,,,2J,6,,,,A,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,,Not,,,,,,0',0',0',,,4,131E13:D75E:3B:1C:Ronal,,,No,,,,24,,Light,,10/18/21 at 8:44 PM - HFC  by me,SL Wall #3w,S4-PAR WFL,S4-PAR WFL,S4-PAR WFL,2J-6,L132,,,,,,True,,,,,,,,,,,,,,,Side Wall Far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sconce,413,245,1/245,SL Wall,4,Sconce,225,,,,,2J,3,,,,A,,,,,,,,,,,,,,,,,,,,,NO,,SLX,SCONCE,,,,,,,,,,,Not,,,[GP] LX-Deck and SLX,GS LED3,None,"54'-9""","129'-8""",0',,,5,56CBCA:263A:1D:1F:Vecto,1810.1.1.0.0,LED3,Yes,1,245,,24,,Practical,,11/10/21 at 3:21 PM - YCoord  by Vectorworks,SL Wall #4,Sconce,Sconce 225w,Sconce 225w,2J-3,,,,,LED3,GS LED3,True,,,,,,,,,Use 75w A19 Frosted Bulbs,,,,,,Side Wall Far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
